,Average_AttendanceTimeSeconds
IncGeo_WardCode_E05009333,-0.026311917169358275
PropertyType_Large supermarket ,-0.026589761839181693
IncGeo_WardCode_E05014118,-0.027029769767072286
IncidentStationGround_Clapham,-0.027098625638982608
IncGeo_WardNameNew_Herne Hill & Loughborough Junction,-0.027103495978447054
Postcode_full_W9,-0.02711031690841915
SecondPumpArriving_DeployedFromStation_Lambeth,-0.027636290182537056
HourOfCall,-0.027870300610341733
IncGeo_WardNameNew_Waterloo & South Bank,-0.027873991176463803
Postcode_district_N16,-0.02792037611336233
IncGeo_WardCode_E05011109,-0.02847034293207476
IncGeo_WardCode_infrequent_sklearn,-0.028643340704723633
FirstPumpArriving_DeployedFromStation_Soho,-0.028934683603727366
PropertyType_Self contained Sheltered Housing ,-0.029223148023619448
IncGeo_WardCode_E05011115,-0.029708271880082026
Postcode_district_W9,-0.029857638757123082
IncidentStationGround_Dowgate,-0.02992120094763225
PropertyCategory_Other Residential,-0.031192539202243214
FirstPumpArriving_DeployedFromStation_Chelsea,-0.032244809720857796
FirstPumpArriving_DeployedFromStation_Peckham,-0.03261676787524797
IncGeo_WardCode_E05009405,-0.032653322895171394
ProperCase_Westminster,-0.03266558606762067
IncGeo_BoroughCode_E09000033,-0.03266558606762067
IncidentStationGround_Peckham,-0.032968404814621766
IncGeo_WardNameNew_Bloomsbury,-0.03298414691430406
FirstPumpArriving_DeployedFromStation_Shoreditch,-0.03327019905209309
IncidentStationGround_Chelsea,-0.03339699885049627
IncidentStationGround_Shoreditch,-0.0334339971981168
SpecialServiceType_Lift Release,-0.033765318909002605
Postcode_full_W10,-0.034082032960788565
IncGeo_WardCode_E05013653,-0.03467830559254366
Postcode_district_SE15,-0.03471697433975381
Postcode_full_E1,-0.034864926290612615
Postcode_full_SW9,-0.03570101134677528
Postcode_district_SE13,-0.03587913940151882
PropertyType_Converted Flat/Maisonettes - 3 or more storeys,-0.035925126122596344
PropertyType_Purpose built office ,-0.03602560797471437
IncidentGroup_Special Service,-0.03626931867051407
StopCodeDescription_Special Service,-0.03627483661854545
FirstPumpArriving_DeployedFromStation_Lambeth,-0.03694821725735446
PropertyType_Single shop ,-0.03700992901902517
FirstPumpArriving_DeployedFromStation_Whitechapel,-0.03712135494214682
IncGeo_WardCode_E05013806,-0.03738297672484229
ProperCase_Hackney,-0.03759497363862872
IncGeo_BoroughCode_E09000012,-0.03759497363862872
IncGeo_WardNameNew_Whitechapel,-0.0378159761299394
IncGeo_WardNameNew_St. James's,-0.03798296544978216
SpecialServiceType_Effecting entry/exit,-0.03893052090599869
IncGeo_BoroughCode_E09000007,-0.039221104814253054
ProperCase_Camden,-0.039221104814253054
AddressQualifier_Correct incident location,-0.039958340050412385
PropertyType_Hostel (e.g. for homeless people) ,-0.04023306154709473
IncGeo_WardCode_E05009336,-0.040370907058877116
IncGeo_BoroughCode_E09000028,-0.04050774779194598
ProperCase_Southwark,-0.04050774779194598
Postcode_district_W10,-0.041692991114742436
Easting,-0.04199633020816155
Postcode_district_SE5,-0.04220839253922807
SecondPumpArriving_DeployedFromStation_Brixton,-0.042286852410258056
Longitude_rounded,-0.04257763734123929
ProperCase_Islington,-0.042853368313506196
IncGeo_BoroughCode_E09000019,-0.042853368313506196
IncidentStationGround_North Kensington,-0.04296479791488904
UPRN,-0.04301102483483889
FirstPumpArriving_DeployedFromStation_North Kensington,-0.04307686624292884
Easting_m,-0.043121505269313784
Postcode_district_SE1,-0.04496005800375461
